XXXBB,FFRRR,BBNAME,AVVC,NN
YVR32,1.101,Stanley,AV/VC,4
YVR32,1.102,Trafalgar,,6
YVR32,1.404,Lighthouse,AV/VC,18
YVR32,1.405,Earles Casual,VC,4
YVR32,1.406,Riley,AV/VC,8
YVR32,2.101,Yaletown,AV/VC,4
YVR32,2.102,Kerrisdale,,6
YVR32,2.103,Gastown,VC,16
YVR32,2.404,Killarney,AV/VC,18
YVR32,2.405,Grandview Casual,,5
YVR32,2.406,Marpole,,10
YVR32,3.101,Chickadee,AV/VC,4
YVR32,3.102,Reservoir,AV/VC,6
YVR32,3.103,Thompson,AV/VC,16
YVR32,3.404,Brockton,AV/VC,18
YVR32,3.405,Kinglet Casual,,5
YVR32,3.406,Ravine,AV/VC,10
YVR32,4.1,Interview,,4
YVR32,4.101,Interview,,4
YVR32,4.203,English Bay Combinable,AV/VC,38
YVR32,4.204,Sunset Combinable,AV/VC,38
YVR32,4.3,Jericho,AV/VC,26
YVR32,5.101,Sockeye,AV/VC,4
YVR32,5.102,Coho,,6
YVR32,5.103,Chinook,AV/VC,16
YVR32,5.403,,AV/VC,14
YVR32,5.404,Char,AV/VC,18
YVR32,5.405,Steelhead Casual,,5
YVR32,5.406,Kokanee,,10
YVR32,6.101,Okanagan,AV/VC,4
YVR32,6.102,Buntzen,,6
YVR32,6.103,Elfin,AV/VC,16
YVR32,6.403,Babine,AV/VC,14
YVR32,6.404,Ootsa,AV/VC,18
YVR32,6.405,Sprott Casual,,5
YVR32,6.406,Kootenay,,10
YVR32,7.1,Eagle,,10
YVR32,7.101,Lynx,AV/VC,18
YVR32,7.404,Kermode,,4
YVR32,7.405,Orca,AV/VC,4
YVR32,7.406,Moose Casual,,5
YVR32,7.407,Raccoon,AV/VC,12
YVR41,1.401,Interview Room,,4
YVR41,2.1,,AV/VC,4
YVR41,2.101,,AV/VC,4
YVR41,2.103,,AV/VC,4
YVR41,2.104,,AV/VC,4
YVR41,2.105,,AV/VC,4
YVR41,2.2,,AV/VC,4
YVR41,2.201,,AV/VC,4
YVR41,2.204,,AV/VC,4
YVR41,2.401,,AV/VC,4
YVR41,3.1,,AV/VC,4
YVR41,3.101,,AV/VC,4
YVR41,3.102,,AV/VC,4
YVR41,3.103,,AV/VC,4
YVR41,3.104,,AV/VC,4
YVR41,3.2,,AV/VC,4
YVR41,3.201,,AV/VC,4
YVR41,3.301,,AV/VC,4
YVR41,3.302,,AV/VC,4
YVR41,3.4,,AV/VC,4
YVR41,4.1,,AV/VC,8
YVR41,4.101,,AV/VC,4
YVR41,4.102,Conference Room,AV/VC,12
YVR41,4.103,,AV/VC,4
YVR41,4.104,,AV/VC,18
YVR41,4.2,,AV/VC,6
YVR41,4.201,,AV/VC,6
YVR41,4.202,,AV/VC,14
YVR41,4.3,,AV/VC,4
YVR41,4.301,,AV/VC,4
YVR41,4.302,,AV/VC,4
YVR41,5.102,,AV/VC,5
YVR41,5.2,,AV/VC,14
YVR41,5.201,,AV/VC,8
YVR41,5.202,,AV/VC,4
YVR41,5.203,,AV/VC,4
YVR41,5.204,,AV/VC,4
YVR41,5.205,,AV/VC,4
YVR41,5.206,,AV/VC,18
YVR41,5.3,,AV/VC,6
YVR41,5.301,,AV/VC,4
YVR41,6.1,,AV/VC,4
YVR41,6.101,,AV/VC,4
YVR41,6.102,,AV/VC,12
YVR41,6.103,,AV/VC,4
YVR41,6.301,,AV/VC,6
YVR41,7.1,,AV/VC,12
YVR41,7.101,,AV/VC,8
YVR41,7.102,,AV/VC,4
